Timestamp,SatelliteID,OrbitType,ClockError_ns,EphemerisError_m
2024-01-01 00:00:00,GEO-01,GEO,-3.240929161016012,-0.7862516744474425
2024-01-01 00:15:00,GEO-01,GEO,-2.811147467400051,-0.6482926498930972
2024-01-01 00:30:00,GEO-01,GEO,-2.810043088374129,-0.8318703438851709
2024-01-01 00:45:00,GEO-01,GEO,-2.565010333587852,-0.64965728679885
2024-01-01 01:00:00,GEO-01,GEO,-3.0043512721817365,-0.5238105207125171
2024-01-01 01:15:00,GEO-01,GEO,-2.9371700064417676,-0.5513364970416837
2024-01-01 01:30:00,GEO-01,GEO,-2.8883205781953873,-0.47653082817869385
2024-01-01 01:45:00,GEO-01,GEO,-2.9193754180345253,-0.4965591340977277
2024-01-01 02:00:00,GEO-01,GEO,-3.3393677968122155,-0.3140883231833746
2024-01-01 02:15:00,GEO-01,GEO,-2.172455609687788,-0.38469894540527416
2024-01-01 02:30:00,GEO-01,GEO,-2.103458911800636,-0.3709446713886604
2024-01-01 02:45:00,GEO-01,GEO,-2.6856429549775696,-0.18176005532305223
2024-01-01 03:00:00,GEO-01,GEO,-2.226688772761039,-0.3554068735996538
2024-01-01 03:15:00,GEO-01,GEO,-2.180988236820148,-0.10793722097248995
2024-01-01 03:30:00,GEO-01,GEO,-2.0199883292591467,-0.20431864645317632
2024-01-01 03:45:00,GEO-01,GEO,-2.292889201152611,0.0865988535616546
2024-01-01 04:00:00,GEO-01,GEO,-1.673770422164729,-0.007732307870036207
2024-01-01 04:15:00,GEO-01,GEO,-1.132086793781293,0.09190009150905004
2024-01-01 04:30:00,GEO-01,GEO,-0.3632564530985184,0.1799338546530251
2024-01-01 04:45:00,GEO-01,GEO,-0.8264616830610858,0.006003538123276669
2024-01-01 05:00:00,GEO-01,GEO,-0.7163532338229682,0.19400459159681202
2024-01-01 05:15:00,GEO-01,GEO,-0.711348482631238,0.4230814219458117
2024-01-01 05:30:00,GEO-01,GEO,-0.5366765358574733,0.4645183778624345
2024-01-01 05:45:00,GEO-01,GEO,0.1307764415275649,0.4641928193526562
2024-01-01 06:00:00,GEO-01,GEO,0.2494504989369733,0.35800874775597424
2024-01-01 06:15:00,GEO-01,GEO,0.17825758201486014,0.6072784777859322
2024-01-01 06:30:00,GEO-01,GEO,0.2698423194219091,0.6743439108315935
2024-01-01 06:45:00,GEO-01,GEO,0.7349412627435635,0.6602859704059993
2024-01-01 07:00:00,GEO-01,GEO,0.8294916774729757,0.8285950629581753
2024-01-01 07:15:00,GEO-01,GEO,1.1921905107263848,0.6865589521841499
2024-01-01 07:30:00,GEO-01,GEO,1.3266139138148016,0.7502968663623315
2024-01-01 07:45:00,GEO-01,GEO,1.710396453818086,0.5967937816012893
2024-01-01 08:00:00,GEO-01,GEO,1.6593361358294283,0.9786476334557337
2024-01-01 08:15:00,GEO-01,GEO,2.555374699224897,0.9567554267760969
2024-01-01 08:30:00,GEO-01,GEO,3.2444355097299145,0.7930543142572766
2024-01-01 08:45:00,GEO-01,GEO,2.9457413830034733,0.818286844223973
2024-01-01 09:00:00,GEO-01,GEO,2.822803632389067,0.9367305339324238
2024-01-01 09:15:00,GEO-01,GEO,3.1835000336314723,1.1300489907591649
2024-01-01 09:30:00,GEO-01,GEO,2.7695781391200445,1.0440993073816072
2024-01-01 09:45:00,GEO-01,GEO,2.741631544873097,1.0138050594000052
2024-01-01 10:00:00,GEO-01,GEO,3.583480266819179,1.0104646146158538
